Real name (if known)|Website|tag|status|description
Anxo Botana Garcia||author_abotana|zp_team-member/zp_galician-translator|
Malte Müller |http://www.maltem.de|author_acrylian|zp_team-member/zp_developer/zp_german-translator|Freelance Illustrator, Graphic Designer and Webdesigner. Co-designer of the zenphoto site and responsible for the German translation. Originally developed Zenpage - A CMS plugin for Zenphoto.
Mark Galeassi ||author_aitf311|zp_team-member-former/zp_assistant-developer|"Graduate from University of Missouri. Coldfusion Developer, Web-designer (www.career.umkc.edu). Mark helps with various things like producing the videos for the site, co-designing the ZP website, moderating on the forums, testing, and general advice. Also Mark was responsible of keeping Zenphoto alive with maintaining the so called ""community build"" (which became the base of Zenphoto 1.1 later) in 2007 while it's developement and future was on hold for some time."
||author_akerbos|zp_contributor|
Alex Wilson|http://alexwilsonphoto.com/|author_alex-wilson|zp_contributor|
Alexey Tokhonov |http://altert.net/|author_altert|zp_contributor|
David Miles||author_amereservant|zp_contributor|
amichel||author_amichel|zp_contributor|
Andrea Garelli||author_andrea-garelli|zp_contributor/zp_italian-translator|
Andrey Samode|http://www.andreyphoto.com/|author_andrey|zp_contributor|
Antonia Ranesi|http://www.antonioranesi.it/|author_antonio-ranesi|zp_contributor|
|http://anudu.com|author_anudu|zp_contributor|
Tanarat Terkthaw|http://www.tanarat.com/blogs|author_artz|zp_contributor|
|http://atrioom.com|author_atrioom|zp_contributor|
Fernando Sánchez||author_ballenato|zp_contributor/zp_italian-translator|
Benjamin Swatek ||author_benjamin-swatek|zp_contributor|
Ben Wilson||author_ben-wilson|zp_contributor|
Bart Braem||author_bart-braem|zp_contributor|
Bert Simons|http://www.bertsimons.nl/|author_bertsimons|zp_contributor|
Bharat Mediratta|http://galleryproject.org|author_bharat|zp_contributor|Bharat is the lead developer of the Gallery Project and provided fixes for the Exifer libary which Gallery uses and Zenphoto maintains since 2005.
Brecht Machiels||author_brecht|zp_contributor|
bthj||author_bthj|zp_contributor|
Carlos Varela|http://www.carlosvarela.net|author_c32|zp_team-member/zp_spanish-translator|Media designer from Santiago, Chile
Cary De Guzman|http://www.bisayaonline.net/|author_cary-de-guzman|zp_contributor|
Daniel Frei |http://www.chilifrei.net/|author_chillifrei64|zp_team-member-former|Systems Administrator
Christoph Singer||author_christue|zp_contributor|
Ciaran Gultnieks|http://ciarang.com/|author_ciaran-gultnieks|zp_contributor|
Damien Courtois |http://blog.pcitron.fr/|author_citron|zp_contributor|author_pim_rijpsma
cyril42e||author_cyril42e|zp_contributor|
Daniel Tofan|http://daniel.toffee.ro|author_daniel-toffee|zp_contributor|
Darrell Dudics|http://www.darrelldudics.com/|author_darrell-dudics|zp_team-member-former|Systems Administrator/IT Support/Network Administrator/Web Developer, Radiologic Technologist Student Developer of the Akismet Hack.
David Wehrs|http://www.thatlittleguy.com|author_david-wehrs|zp_contributor|
David Bogen|http://www.bogen.org/|author_dbogen|zp_contributor|
Lars Hagen |http://www.elementalshoots.com/|author_desgphoto|zp_contributor|
Ivan Daniluk ||author_divan|zp_contributor|
||author_djdevine|zp_contributor|
|http://www.artpixel.ru|author_doctor-kru|zp_contributor/zp_russian-translator|
Douglas Bowman ||author_douglas-bowman|zp_contributor|
Don Peterson||author_dpeterson|zp_contributor|
||author_draekko|zp_contributor|
Einar Egilsson|http://tech.einaregilsson.com/|author_einar-egilsson|zp_contributor|
|http://blog.falstaff.ch/|author_falstaff84|zp_contributor|
Simon Lee|http://www.tinha.org/|author_fatman|zp_team-member//zp_chinese-translator|Software developer, Hong Kong Zenphoto: fatmangallery.com
Samy Rabih|http://lahaut.info|author_fetard|zp_team-member/zp_french-translator|
||author_fogoh|zp_contributor|
||author_frankm|zp_contributor|
Fred Sondaar||author_fretzl|zp_team-member/zp_dutch-translator|
Gilles Dodinet|http://gilles.dodinet.fr/|author_gdodinet|zp_contributor|
|http://oswebcreations.com/|author_gjr|zp_contributor|
||author_gregb34|zp_contributor|
|http://trunghuynh.com/|author_hgtrung|zp_contributor|
Stephane Huc |http://www.stephane-huc.net/|author_hucste|zp_contributor|
||author_invarbrass|zp_contributor|
Itay Raz||author_itaymesh|zp_contributor/zp_hebraic-translator|
|http://www.moto-treks.com/|author_j916|zp_contributor|
Iacopo Benesperi|http://www.iacchi.org|author_iacchi|zp_team-member/zp_italian-translator|
Jake Olefsky|http://www.offsky.com|author_jake-olefsky|zp_contributor|Originally created the Exifer library and maintained it until in 2005 the Zenphotp project incorporated it and took over development.
Jakob Friis|http://www.fam-friis.dk/|author_jakob-friis|zp_contributor|
Janez Šinkovec||author_janez-sinkovec|zp_contributor/zp_slovenian-translator|
Jason Hsu|http://imagebaker.com/|author_jason-hsu|zp_contributor|
|http://jbaviat.free.fr/photos|author_jb|zp_team-member-former|Student, ENSIIE, a French postgraduate school in computer science.
Jerome Blion|http://www.hebergement-pro.org/|author_jerome-blion|zp_contributor|
|http://kubuntu.free.fr/blog/|author_jjl|zp_contributor|
||author_joshduck|zp_contributor|
Jovan Turanjanin||author_jovant|zp_contributor/zp_serbian-translator|
jphilbert|http://www.philbertphotography.com/|author_jphilbert|zp_contributor|
James Sumners|http://james.roomfullofmirrors.com/|author_jsumners|zp_contributor|
Nick Tsikerdanos |http://www.archlinuxgallery.com/|author_kagutsuchi|zp_team-member/zp_assistant-developer|Besides moderating on the forum he provided the Imagick graphics library support for Zenphoto 1.3 and several bugfix patches.
